id,species,scientific,group,raritycode,pelagic,shorebird,passerine,waterfowl,perennial,vagrant,migrant,breeder,winter,X1.1,X1.2,X1.3,X1.4,X2.1,X2.2,X2.3,X2.4,X3.1,X3.2,X3.3,X3.4,X4.1,X4.2,X4.3,X4.4,X5.1,X5.2,X5.3,X5.4,X6.1,X6.2,X6.3,X6.4,X7.1,X7.2,X7.3,X7.4,X8.1,X8.2,X8.3,X8.4,X9.1,X9.2,X9.3,X9.4,X10.1,X10.2,X10.3,X10.4,X11.1,X11.2,X11.3,X11.4,X12.1,X12.2,X12.3,X12.4,presence
125,Curlew Sandpiper,Calidris ferruginea,Sandpiper/Allies,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000952562,0.003685092,0.014357338,0.009617586,0.000571429,0,0,0,0,0,0,0.001091703,0,0,0.000350385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000638044
126,Dark-eyed Junco,Junco hyemalis,Sparrows/Towhees,1,0,0,1,0,0,0,1,0,1,0.248881432,0.200236616,0.198338787,0.27833109,0.22068299,0.28383273,0.350329585,0.184267575,0.239095829,0.196548418,0.18566494,0.193218025,0.206176723,0.139117647,0.055615844,0.019057592,0.001905125,0.000837521,0,0.00045798,0.000571429,0,0,0,0,0,0,0,0,0,0,0,0,0.000310174,0.001780231,0.004821111,0.035574413,0.097930182,0.118260244,0.263369881,0.361876076,0.319402985,0.306891601,0.315186246,0.285881435,0.316059226,0.31884058,0.265184506,0.129469516
127,Dickcissel,Spiza americana,Tang/Gros/Bunt,1,0,0,1,0,0,0,1,1,0,0.005779269,0.002366164,0.00251699,0.001615074,0.003543814,0.000658545,0.000775494,0.001698359,0.002900509,0.000958773,0,0.000682749,0.001143838,0,0,0.000209424,0.001714612,0.003685092,0.006381039,0.01511335,0.023428571,0.035294118,0.029030266,0.032986111,0.011210762,0.010041347,0.020309995,0.012008734,0.008459484,0.008385744,0.012613875,0.016018908,0.011688312,0.018610422,0.018375815,0.017761989,0.027741514,0.023787458,0.015456506,0.009845603,0.008175559,0.003880597,0.007896626,0.00487106,0.003120125,0.004555809,0.002484472,0.002750401,0.009427777
128,Double-crested Cormorant,Phalacrocorax auritus,Cormorants,1,0,0,0,0,1,0,0,1,1,0.109619687,0.087548063,0.083312358,0.067833109,0.067332474,0.058610471,0.049050019,0.075255497,0.068449538,0.104506232,0.139320668,0.208010924,0.289390906,0.291764706,0.306565383,0.270157068,0.233568299,0.249916248,0.279626253,0.260590795,0.181142857,0.177647059,0.186534898,0.174045139,0.154147982,0.177200236,0.225547835,0.25,0.261353517,0.272955975,0.312193413,0.290966387,0.322727273,0.306141439,0.350326023,0.388987567,0.422976501,0.441149212,0.462976276,0.487804878,0.382099828,0.312537313,0.290739411,0.265902579,0.200858034,0.172551253,0.117184265,0.104515242,0.229034189
129,Dovekie,Alle alle,Alcids,2,1,0,0,0,0,1,0,0,0,0.001677852,0.001774623,0.002013592,0.000538358,0.015463918,0.000987817,0.000775494,0.003406627,0.003820439,0,0,0.000227583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001138952,0.003312629,0.004584002,0.000827539
130,Downy Woodpecker,Picoides pubescens,Woodpeckers,1,0,0,0,0,1,0,0,1,1,0.173750932,0.145814848,0.145482004,0.172812921,0.15560567,0.159038525,0.211128344,0.134097244,0.154409424,0.153723234,0.165515256,0.175238962,0.205032885,0.242647059,0.224362453,0.211518325,0.193751191,0.14438861,0.146080219,0.120677811,0.168571429,0.165294118,0.156886967,0.159288194,0.168721973,0.175428234,0.153393907,0.14628821,0.142475512,0.161006289,0.195164681,0.226890756,0.248701299,0.244727047,0.267042087,0.266937326,0.26272846,0.260426321,0.217109993,0.209890356,0.196213425,0.205671642,0.204594401,0.206590258,0.1950078,0.230637813,0.247619048,0.178317671,0.189514607
131,Dunlin,Calidris alpina,Sandpiper/Allies,1,0,1,0,0,0,0,1,0,1,0.07885906,0.074534161,0.072237604,0.075100942,0.075064433,0.065525189,0.03722373,0.056673893,0.06049029,0.076701822,0.077432355,0.088757396,0.094080641,0.083529412,0.08817146,0.092565445,0.101733664,0.139363484,0.219006381,0.210212961,0.042857143,0.011176471,0.003088326,0.003472222,0.003923767,0.00472534,0.011758418,0.01055313,0.008014248,0.009643606,0.012613875,0.006302521,0.006168831,0.006823821,0.017486663,0.030449125,0.054177546,0.07012666,0.093817398,0.110315507,0.091652324,0.123880597,0.104809763,0.094555874,0.090873635,0.088838269,0.067494824,0.065551226,0.064841989
132,Eared Grebe,Podiceps nigricollis,Grebes,1,0,0,0,0,0,1,0,0,0,0.000372856,0.001183082,0.002013592,0.001884253,0.001278189,0.001758643,0.002326483,0.00185816,0.00127348,0.000955737,0.002302821,0.001137915,0.000643838,0.000654706,0.000542594,0,0,0,0,0.00022899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000253743,0,0,0,0,0,0.000597015,0.0028715,0,0,0,0.000414079,0.0002292,0.000516268
133,Eastern Bluebird,Sialia sialis,Thrushes,1,0,0,1,0,1,0,0,1,1,0.107941834,0.107364685,0.106216965,0.117631225,0.097293814,0.08989134,0.109926328,0.125425828,0.126711238,0.144774688,0.13960852,0.126763769,0.14612525,0.159705882,0.135377103,0.136963351,0.130310535,0.109882747,0.119872379,0.121135791,0.153142857,0.148235294,0.144533663,0.143663194,0.121636771,0.13230951,0.114911812,0.114628821,0.095280499,0.099790356,0.088297127,0.085609244,0.093831169,0.080955335,0.090100771,0.092362345,0.107375979,0.120790856,0.131200575,0.171402998,0.232788296,0.222089552,0.218592965,0.186246418,0.148985959,0.150911162,0.160662526,0.145312858,0.130303587
134,Eastern Kingbird,Tyrannus tyrannus,Tyrants,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000902202,0.010882353,0.039066739,0.119790576,0.214517051,0.246566164,0.287374658,0.260819785,0.282285714,0.277647059,0.26127239,0.26171875,0.25896861,0.280567041,0.294494923,0.295123726,0.274710597,0.294339623,0.304835319,0.269170168,0.201623377,0.134925558,0.057202134,0.019030703,0.003590078,0.002471424,0.000718907,0.000223764,0,0,0,0,0,0,0,0,0.103225821
135,Eastern Meadowlark,Sturnella magna,Blackbirds,1,0,0,1,0,0,0,1,1,1,0.029828486,0.026323573,0.032217468,0.033109017,0.026095361,0.026012512,0.018224118,0.022297925,0.026743075,0.030361138,0.034542314,0.029358216,0.034315127,0.029117647,0.030113945,0.023664921,0.027433797,0.026968174,0.020966272,0.02999771,0.036571429,0.030588235,0.034589253,0.032552083,0.030269058,0.029533373,0.030464992,0.030567686,0.022707035,0.016352201,0.013314646,0.007878151,0.00487013,0.004652605,0.001481921,0.005328597,0.026436031,0.072907013,0.085549964,0.116357127,0.074870912,0.071641791,0.062096195,0.046131805,0.038221529,0.037015945,0.028985507,0.038047215,0.033076526
